,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,-1.374094499760907,,Intercept,312.69177741243607,313.0,0.3082225875639324,313.0
1,1,grade:A,1.1236399392206344,3.2437222205469834e-35,grade,86.69005179953724,87.0,0.30994820046275606,87.0
2,2,grade:B,0.8789300537746542,4.267381445306953e-47,grade,67.81041615763847,68.0,0.1895838423615288,68.0
3,3,grade:C,0.684806319477895,6.698226675958579e-34,grade,52.83355747337161,53.0,0.1664425266283871,53.0
4,4,grade:D,0.49692343447641063,1.3468716667369989e-20,grade,38.33818714653686,38.0,-0.33818714653686044,38.0
5,5,grade:E,0.3214948530499202,1.0250372208515947e-11,grade,24.8036799791162,25.0,0.19632002088379963,25.0
6,6,grade:F,0.13427984293556533,0.0062433933548139845,grade,10.359836931207683,10.0,-0.359836931207683,10.0
7,7,home_ownership:OWN,0.09350682849810232,3.4684146710259748e-06,home_ownership,7.21415421717156,7.0,-0.21415421717155958,7.0
8,8,home_ownership:MORTGAGE,0.10625372367715258,4.4069814520661696e-17,home_ownership,8.197591139253197,8.0,-0.1975911392531966,8.0
9,9,addr_state:NM_VA,0.036021708343574314,0.26081206470355844,addr_state,2.779114245777189,3.0,0.22088575422281087,3.0
10,10,addr_state:NY,0.055555874722183055,0.02183148289903701,addr_state,4.286196573588479,4.0,-0.2861965735884793,4.0
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.05799788455842134,0.012255650035917526,addr_state,4.474600306678736,4.0,-0.4746003066787363,4.0
12,12,addr_state:CA,0.06215393192426951,0.003373685424037721,addr_state,4.795243912206505,5.0,0.20475608779349486,5.0
13,13,addr_state:UT_KY_AZ_NJ,0.07646325495049291,0.0021475487347552055,addr_state,5.899223853699171,6.0,0.10077614630082898,6.0
14,14,addr_state:AR_MI_PA_OH_MN,0.13344210293293543,3.1491678056140516e-09,addr_state,10.29520437260274,10.0,-0.2952043726027398,10.0
15,15,addr_state:RI_MA_DE_SD_IN,0.09789464664484865,0.0010331895774204447,addr_state,7.55267919225586,8.0,0.4473208077441404,8.0
16,16,addr_state:GA_WA_OR,0.1837618799311142,5.574147477512885e-12,addr_state,14.177430272777626,14.0,-0.17743027277762558,14.0
17,17,addr_state:WI_MT,0.23794343946173505,5.610616135485005e-07,addr_state,18.357596924336047,18.0,-0.35759692433604684,18.0
18,18,addr_state:TX,0.220962680260204,1.8348539761633444e-17,addr_state,17.04751275645107,17.0,-0.047512756451070004,17.0
19,19,addr_state:IL_CT,0.25990232874823194,5.67320241772688e-19,addr_state,20.051749279784612,20.0,-0.05174927978461241,20.0
20,20,addr_state:KS_SC_CO_VT_AK_MS,0.31857005278698086,5.110290327215326e-25,addr_state,24.578028435906212,25.0,0.4219715640937878,25.0
21,21,addr_state:WV_NH_WY_DC_ME_ID,0.5219615403472134,1.0722573052177124e-22,addr_state,40.26990443348886,40.0,-0.2699044334888612,40.0
22,22,verification_status:Not Verified,0.08572510627583135,4.36638117488967e-09,verification_status,6.613785826024671,7.0,0.3862141739753291,7.0
23,23,verification_status:Source Verified,-0.011179582323103128,0.40518249310309473,verification_status,-0.8625170188941639,-1.0,-0.13748298110583612,-1.0
24,24,purpose:credit_card,0.30184473506728005,1.2602786161950933e-26,purpose,23.28765185807626,23.0,-0.28765185807625926,23.0
25,25,purpose:debt_consolidation,0.19807885090451052,2.5085724755641256e-14,purpose,15.282000261769884,15.0,-0.282000261769884,15.0
26,26,purpose:oth__med__vacation,0.21283126267151256,7.71935617176732e-12,purpose,16.42016498483638,16.0,-0.4201649848363793,16.0
27,27,purpose:major_purch__car__home_impr,0.26626167433045783,1.4738487518193405e-17,purpose,20.542379755519306,21.0,0.4576202444806938,21.0
28,28,initial_list_status:w,0.05383066062523236,3.7346286296072113e-05,initial_list_status,4.153094416741258,4.0,-0.1530944167412578,4.0
29,29,term:36,0.07894405534675401,1.629742271742347e-08,term,6.090620320974404,6.0,-0.09062032097440387,6.0
30,30,emp_length:1,0.09915565011728568,0.00013149629127912047,emp_length,7.649966991068694,8.0,0.3500330089313062,8.0
31,31,emp_length:2-4,0.12584857345663564,2.599725749122215e-11,emp_length,9.709355257895824,10.0,0.2906447421041758,10.0
32,32,emp_length:5-6,0.09108926275264585,2.0828418416231876e-05,emp_length,7.02763637245364,7.0,-0.0276363724536397,7.0
33,33,emp_length:7-9,0.06114148326855901,0.0032878318759090117,emp_length,4.717132389694417,5.0,0.2828676103055834,5.0
34,34,emp_length:10,0.125045115116291,1.1785461554417e-11,emp_length,9.64736756707775,10.0,0.35263243292225077,10.0
35,35,mths_since_issue_d:<38,1.0841863236362275,4.848740346056479e-181,mths_since_issue_d,83.64616215187701,84.0,0.3538378481229927,84.0
36,36,mths_since_issue_d:38-39,0.8791750374755994,1.049850191826849e-149,mths_since_issue_d,67.829316918446,68.0,0.17068308155400302,68.0
37,37,mths_since_issue_d:40-41,0.7782309487263778,5.764886985033737e-124,mths_since_issue_d,60.04136992841931,60.0,-0.0413699284193072,60.0
38,38,mths_since_issue_d:42-48,0.577131847654747,1.109959528655723e-87,mths_since_issue_d,44.526354058805495,45.0,0.47364594119450487,45.0
39,39,mths_since_issue_d:49-52,0.4156607129041624,8.366755360045101e-41,mths_since_issue_d,32.06867918711366,32.0,-0.06867918711365917,32.0
40,40,mths_since_issue_d:53-64,0.16991464845054832,5.978415047062124e-09,mths_since_issue_d,13.109101200065009,13.0,-0.1091012000650089,13.0
41,41,mths_since_issue_d:65-84,-0.0718116375823024,0.014041478204596334,mths_since_issue_d,-5.540346479796139,-6.0,-0.45965352020386074,-6.0
42,42,int_rate:<9.548,0.8831868042150607,3.569580121520229e-31,int_rate,68.13882911564751,68.0,-0.13882911564751055,68.0
43,43,int_rate:9.548-12.025,0.5586573684860144,5.94254404629981e-36,int_rate,43.10102775969072,43.0,-0.10102775969072297,43.0
44,44,int_rate:12.025-15.74,0.3061306702605013,7.24543844589493e-17,int_rate,23.618316451724933,24.0,0.3816835482750669,24.0
45,45,int_rate:15.74-20.281,0.11315720409483451,9.376735105913109e-05,int_rate,8.730202213420814,9.0,0.2697977865791863,9.0
46,46,mths_since_earliest_cr_line:141-164,0.05576968019456275,0.024984141441164214,mths_since_earliest_cr_line,4.302691899919151,4.0,-0.302691899919151,4.0
47,47,mths_since_earliest_cr_line:165-247,0.03715655271900859,0.06428721002043083,mths_since_earliest_cr_line,2.866668732100493,3.0,0.1333312678995071,3.0
48,48,mths_since_earliest_cr_line:248-270,0.07947239328257404,0.0024561366718381405,mths_since_earliest_cr_line,6.131382171301357,6.0,-0.13138217130135743,6.0
49,49,mths_since_earliest_cr_line:271-352,0.12203748384609563,1.8941974766941966e-07,mths_since_earliest_cr_line,9.41532552095042,9.0,-0.41532552095041986,9.0
50,50,mths_since_earliest_cr_line:>352,0.12936004675552767,1.0694601980792327e-06,mths_since_earliest_cr_line,9.980269268290277,10.0,0.01973073170972306,10.0
51,51,inq_last_6mths:0,0.6663076746396663,3.514184071576995e-14,inq_last_6mths,51.40636676639158,51.0,-0.406366766391578,51.0
52,52,inq_last_6mths:1-2,0.5198043430946615,3.237607523988363e-09,inq_last_6mths,40.10347430312588,40.0,-0.10347430312587846,40.0
53,53,inq_last_6mths:3-6,0.3095831731642352,0.0004599371941640294,inq_last_6mths,23.884680831554952,24.0,0.11531916844504764,24.0
54,54,acc_now_delinq:>=1,0.18035072145288178,0.08870239147162046,acc_now_delinq,13.914255660650978,14.0,0.08574433934902181,14.0
55,55,annual_inc:20K-30K,-0.08151425337875781,0.05301445757715266,annual_inc,-6.288913913745787,-6.0,0.28891391374578657,-6.0
56,56,annual_inc:30K-40K,-0.018913083089163785,0.640373427734187,annual_inc,-1.4591650718875153,-1.0,0.4591650718875153,-1.0
57,57,annual_inc:40K-50K,0.0756821105636342,0.061205033227174466,annual_inc,5.83895770882836,6.0,0.16104229117163982,6.0
58,58,annual_inc:50K-60K,0.1425505726670358,0.0004993064994761677,annual_inc,10.99793278719733,11.0,0.002067212802669971,11.0
59,59,annual_inc:60K-70K,0.21809510897763576,1.909134263007234e-07,annual_inc,16.826276491747688,17.0,0.1737235082523121,17.0
60,60,annual_inc:70K-80K,0.29155080434051256,8.738819852288693e-12,annual_inc,22.493463829709018,22.0,-0.49346382970901814,22.0
61,61,annual_inc:80K-90K,0.3673832422844023,1.4611767039134719e-16,annual_inc,28.344019460546342,28.0,-0.3440194605463418,28.0
62,62,annual_inc:90K-100K,0.38720405353791854,4.201865921439501e-17,annual_inc,29.873216754359145,30.0,0.12678324564085486,30.0
63,63,annual_inc:100K-120K,0.46510749743370805,2.3183557909171548e-24,annual_inc,35.88355276232677,36.0,0.11644723767322773,36.0
64,64,annual_inc:120K-140K,0.552372172017905,1.8604738486102862e-26,annual_inc,42.61611796931018,43.0,0.3838820306898185,43.0
65,65,annual_inc:>140K,0.49155365967814096,4.976731140548667e-25,annual_inc,37.92390314045505,38.0,0.07609685954494694,38.0
66,66,dti:<=1.4,0.2524747260310571,0.0024561382747634902,dti,19.478701596249188,19.0,-0.47870159624918784,19.0
67,67,dti:1.4-3.5,0.37154821676171407,1.0995900156443397e-07,dti,28.665351802499536,29.0,0.3346481975004636,29.0
68,68,dti:3.5-7.7,0.3844608499573584,1.7571219316661982e-10,dti,29.66157559405972,30.0,0.33842440594028034,30.0
69,69,dti:7.7-10.5,0.31972896314741533,9.312494205650059e-08,dti,24.66743963932674,25.0,0.3325603606732592,25.0
70,70,dti:10.5-16.1,0.24116422510389374,3.075645515106535e-05,dti,18.606084063683912,19.0,0.39391593631608757,19.0
71,71,dti:16.1-20.3,0.13986076633855316,0.01579938333368889,dti,10.790411283370563,11.0,0.2095887166294368,11.0
72,72,dti:20.3-21.7,0.12748676678005064,0.03557574812564883,dti,9.835743666769048,10.0,0.16425633323095212,10.0
73,73,dti:21.7-22.4,0.09205118029159591,0.15502494646754816,dti,7.101849363971459,7.0,-0.10184936397145883,7.0
74,74,dti:22.4-35,0.05028758463965205,0.3799186788532012,dti,3.8797422244609665,4.0,0.1202577755390335,4.0
75,75,mths_since_last_delinq:Missing,0.11041693840322088,0.03458842522533324,mths_since_last_delinq,8.518787714470866,9.0,0.48121228552913387,9.0
76,76,mths_since_last_delinq:4-30,0.13696011908443215,0.009470295299622183,mths_since_last_delinq,10.56662317124067,11.0,0.4333768287593305,11.0
77,77,mths_since_last_delinq:31-56,0.18310545287442087,0.0006149597715676879,mths_since_last_delinq,14.126786206505974,14.0,-0.12678620650597416,16.0
78,78,mths_since_last_delinq:>=57,0.13611736000508262,0.012889421593166887,mths_since_last_delinq,10.501603385370458,11.0,0.49839661462954155,11.0
79,79,mths_since_last_record:Missing,0.3208937293135496,7.942467623167063e-05,mths_since_last_record,24.75730262456965,25.0,0.24269737543034964,25.0
80,80,mths_since_last_record:3-20,0.4406281285477959,0.00033466628927402337,mths_since_last_record,33.99494264562727,34.0,0.005057354372731027,34.0
81,81,mths_since_last_record:21-31,0.3507253798384552,0.0018316150880782237,mths_since_last_record,27.05884713095619,27.0,-0.05884713095619176,27.0
82,82,mths_since_last_record:32-80,0.5029844975857144,3.956627401049998e-09,mths_since_last_record,38.80580480283898,39.0,0.1941951971610223,39.0
83,83,mths_since_last_record:81-86,0.17584403421168107,0.08603744644188126,mths_since_last_record,13.566559804756976,14.0,0.43344019524302446,14.0
84,84,mths_since_last_record:>86,0.23273644545710498,0.005704389409636539,mths_since_last_record,17.955871634743417,18.0,0.044128365256582924,18.0
85,0,grade:G,0.0,,grade,0.0,0.0,0.0,0.0
86,1,home_ownership:RENT_OTHER_NONE_ANY,0.0,,home_ownership,0.0,0.0,0.0,0.0
87,2,addr_state:ND_NE_IA_NV_FL_HI_AL,0.0,,addr_state,0.0,0.0,0.0,0.0
88,3,verification_status:Verified,0.0,,verification_status,0.0,0.0,0.0,0.0
89,4,purpose:educ__sm_b__wedd__ren_en__mov__house,0.0,,purpose,0.0,0.0,0.0,0.0
90,5,initial_list_status:f,0.0,,initial_list_status,0.0,0.0,0.0,0.0
91,6,term:60,0.0,,term,0.0,0.0,0.0,0.0
92,7,emp_length:0,0.0,,emp_length,0.0,0.0,0.0,0.0
93,8,mths_since_issue_d:>84,0.0,,mths_since_issue_d,0.0,0.0,0.0,0.0
94,9,int_rate:>20.281,0.0,,int_rate,0.0,0.0,0.0,0.0
95,10,mths_since_earliest_cr_line:<140,0.0,,mths_since_earliest_cr_line,0.0,0.0,0.0,0.0
96,11,inq_last_6mths:>6,0.0,,inq_last_6mths,0.0,0.0,0.0,0.0
97,12,acc_now_delinq:0,0.0,,acc_now_delinq,0.0,0.0,0.0,0.0
98,13,annual_inc:<20K,0.0,,annual_inc,0.0,0.0,0.0,0.0
99,14,dti:>35,0.0,,dti,0.0,0.0,0.0,0.0
100,15,mths_since_last_delinq:0-3,0.0,,mths_since_last_delinq,0.0,0.0,0.0,0.0
101,16,mths_since_last_record:0-2,0.0,,mths_since_last_record,0.0,0.0,0.0,0.0
